INITIAL,GENE NAME,NORMAL FUNCTION,HEALTH CONDITIONS RELATED TO GENETIC CHANGE
AAAS ,aladin WD repeat nucleoporin,"The AAAS gene provides instructions for making a protein called ALADIN whose function is not well understood. Within cells, ALADIN is found in the nuclear envelope, the structure that surrounds the nucleus and separates it from the rest of the cell. Based on its location, ALADIN is thought to be involved in the movement of molecules into and out of the nucleus.","Triple A syndrome At least 49 mutations in the AAAS gene have been found to cause triple A syndrome. These mutations change the structure of ALADIN in different ways; however, almost all mutations prevent this protein from reaching its proper location in the nuclear envelope. The absence of ALADIN likely disrupts the movement of molecules across this membrane. Researchers suspect that DNA repair proteins may be unable to enter the nucleus if ALADIN is missing from the nuclear envelope. DNA damage that is not repaired can cause the cell to become unstable and lead to cell death. Although the nervous system is particularly vulnerable to DNA damage, it remains unknown exactly how mutations in the AAAS gene lead to the signs and symptoms of triple A syndrome. "
AASS ,aminoadipate-semialdehyde synthase,"The AASS gene provides instructions for making an enzyme called aminoadipic semialdehyde synthase. This enzyme is found in most tissues, with the highest amounts found in the liver. Aminoadipic semialdehyde synthase is involved in the breakdown of the amino acid lysine, a building block of most proteins. It is called a bifunctional enzyme because is performs two functions. One function, called lysine-ketoglutarate reductase, breaks down lysine to a molecule called saccharopine. The other function, called saccharopine dehydrogenase, breaks down saccharopine to a molecule called alpha-aminoadipate semialdehyde.","Hyperlysinemia At least five mutations in the AASS gene have been found to cause hyperlysinemia. Most of these mutations change single amino acids in aminoadipic semialdehyde synthase. These mutations are thought to decrease or eliminate enzyme activity, resulting in an inability to break down lysine. Lysine that is not broken down accumulates in the blood, but it typically causes no health problems.When mutations in the AASS gene impair the breakdown of saccharopine, this molecule builds up in blood and urine. This buildup is sometimes referred to as saccharopinuria, which is considered to be a variant of hyperlysinemia. It is unclear if saccharopinuria causes any symptoms. "
ABAT ,4-aminobutyrate aminotransferase,"The ABAT gene provides instructions for making the GABA-transaminase enzyme. This enzyme helps break down a brain chemical (neurotransmitter) called GABA when it is not needed. GABA normally helps slow down (inhibit) brain cell activity when necessary, to prevent the brain from being overloaded with too many signals. For this reason GABA is called an inhibitory neurotransmitter.","GABA-transaminase deficiency At least 10 mutations in the ABAT gene have been identified in people with GABA-transaminase deficiency, which is a brain disease (encephalopathy) that begins in infancy. Babies with this disorder have recurrent seizures (epilepsy), movement problems, and profoundly delayed development. They may grow more rapidly in length than usual (accelerated linear growth), even though they have feeding problems and may not gain weight as quickly as expected (failure to thrive). Individuals with this disorder usually do not survive past the first 2 years of life, but some live longer into childhood.The ABAT gene mutations that cause GABA-transaminase deficiency lead to a shortage (deficiency) of functional GABA-transaminase enzyme. As a result, GABA is not properly broken down, so this neurotransmitter and another molecule called beta-alanine accumulate abnormally in brain cells. This accumulation alters the balance of neurotransmitters in the brain, leading to the neurological problems characteristic of GABA-transaminase deficiency. Excess GABA also leads to abnormal release of a protein that is necessary for growth of the body's bones and tissues (growth hormone), resulting in the accelerated linear growth that sometimes occurs in this disorder. "
ABCA1 ,ATP binding cassette subfamily A member 1,"The ABCA1 gene belongs to a group of genes called the ATP-binding cassette family, which provides instructions for making proteins that transport molecules across cell membranes. The ABCA1 protein is produced in many tissues, with high amounts found in the liver and in immune system cells called macrophages. This protein moves cholesterol and certain fats called phospholipids across the cell membrane to the outside of the cell. These substances are then picked up by a protein called apolipoprotein A-I (apoA-I), which is produced from the APOA1 gene. ApoA-I, cholesterol, and phospholipids combine to make high-density lipoprotein (HDL), often referred to as ""good cholesterol"" because high levels of this substance reduce the chances of developing heart and blood vessel (cardiovascular) disease. HDL is a molecule that carries cholesterol and phospholipids through the bloodstream from the body's tissues to the liver. Once in the liver, cholesterol and phospholipids are redistributed to other tissues or removed from the body. The process of removing excess cholesterol from cells is extremely important for balancing cholesterol levels and maintaining cardiovascular health.","Familial HDL deficiency Mutations in the ABCA1 gene can cause a condition called familial HDL deficiency. People with this condition have reduced levels of HDL in their blood and may experience early-onset cardiovascular disease, often before age 50. While one copy of the altered ABCA1 gene causes familial HDL deficiency, two copies of the altered gene cause a more severe related disorder called Tangier disease (described below).Most ABCA1 gene mutations that cause familial HDL deficiency change single protein building blocks (amino acids) in the ABCA1 protein. These mutations prevent the release of cholesterol and phospholipids from cells, decreasing the amount of these substances available to form HDL. As a result, the levels of HDL in the blood are low. A shortage (deficiency) of HDL is believed to increase the risk of cardiovascular disease. "
ABCA3 ,ATP binding cassette subfamily A member 3,"The ABCA3 gene provides instructions for making a protein involved in surfactant production. Surfactant is a mixture of certain fats (called phospholipids) and proteins that lines the lung tissue and makes breathing easy. Without normal surfactant, the tissue surrounding the air sacs in the lungs (the alveoli) sticks together after exhalation (because of a force called surface tension), causing the alveoli to collapse. As a result, filling the lungs with air on each breath becomes very difficult, and delivery of oxygen to the body is impaired.The ABCA3 protein is found in the membrane that surrounds lamellar bodies, which are the cellular structures in which the phospholipids and proteins that make up surfactant are packaged. The ABCA3 protein transports phospholipids into the lamellar bodies where they interact with surfactant proteins to form surfactant. The ABCA3 protein also appears to be involved in the formation of normal lamellar bodies. In addition to packaging, lamellar bodies are important for the correct processing of surfactant proteins, which is necessary for the proteins to mature and become functional.","Surfactant dysfunction More than 100 ABCA3 gene mutations that cause surfactant dysfunction have been identified. Surfactant dysfunction due to mutations in this gene (often called ABCA3 deficiency) can cause severe, often fatal breathing problems in newborns or gradual onset of milder breathing problems in children or adults.Some mutations in the ABCA3 gene lead to the production of a protein that is not inserted into the lamellar body membrane. Other mutations lead to the production of an abnormal protein that is found in the lamellar body membrane but has little or no function. Without ABCA3 protein function, the transport of surfactant phospholipids is decreased. In addition, lamellar body formation is impaired, which causes abnormal processing of surfactant proteins. ABCA3 gene mutations result in abnormal surfactant composition and function. The loss of functional surfactant raises surface tension in the alveoli, causing difficulty breathing and collapse of the lungs. It has been suggested that mutations that eliminate ABCA3 protein function cause severe forms of surfactant dysfunction, and mutations that leave some residual ABCA3 activity cause milder forms of the condition. "
ABCA4 ,ATP binding cassette subfamily A member 4,"The ABCA4 gene provides instructions for making a protein that is found in the retina, the specialized light-sensitive tissue that lines the back of the eye. Specifically, the ABCA4 protein is produced in the retina's light receptor cells (photoreceptors). The ABCA4 protein is active following phototransduction, the process by which light entering the eye is converted into electrical signals that are transmitted to the brain. Phototransduction leads to the formation of potentially toxic substances that can damage photoreceptor cells. The ABCA4 protein removes one of these substances, called N-retinylidene-PE, from photoreceptor cells.","Cone-rod dystrophy More than 40 mutations in the ABCA4 gene have been found to cause a vision disorder called cone-rod dystrophy. The problems associated with this condition include a loss of visual sharpness (acuity), an increased sensitivity to light (photophobia), and impaired color vision. These vision problems worsen over time. It is estimated that ABCA4 gene mutations account for 30 to 60 percent of cases of cone-rod dystrophy that are inherited in an autosomal recessive pattern, which means that both copies of the gene in each cell have mutations.Most of the ABCA4 gene mutations that cause cone-rod dystrophy change single protein building blocks (amino acids) in the ABCA4 protein. The altered protein cannot remove N-retinylidene-PE from photoreceptor cells. As a result, N-retinylidene-PE combines with another substance to produce a molecule called N-retinylidene-N-retinylethanolamine (A2E), which builds up in these cells. The buildup of A2E is toxic to photoreceptor cells and leads to their deterioration, causing progressive vision loss in people with cone-rod dystrophy. Cone-rod dystrophy caused by ABCA4 gene mutations tends to be associated with more severe vision problems than cone-rod dystrophy caused by other genetic mutations. "
ABCA12 ,ATP binding cassette subfamily A member 12,"The ABCA12 gene provides instructions for making a protein known as an ATP-binding cassette (ABC) transporter. ABC transporter proteins carry many types of molecules across cell membranes. In particular, the ABCA12 protein plays a major role in transporting fats (lipids) in cells that make up the outermost layer of skin (the epidermis). This lipid transport is needed to maintain the layers of lipids within the epidermis that are necessary to prevent water loss (dehydration) and for normal development of the skin. The ABCA12 protein is also found in several other tissues, including the testes, placenta, lungs, stomach, fetal brain, and liver.","Harlequin ichthyosis More than 65 mutations in the ABCA12 gene have been identified in people with harlequin ichthyosis. This skin condition is characterized by hard, thick scales that are present at birth; excessive dehydration; and increased risk of infections. Most of the mutations lead to an absence of ABCA12 protein or the production of an extremely small version of the protein that cannot transport lipids properly. A lack of lipid transport causes numerous problems with the development of the epidermis before and after birth. Specifically, it prevents the skin from forming an effective barrier against dehydration, and leads to the skin problems characteristic of harlequin ichthyosis. "
ABCB4 ,ATP binding cassette subfamily B member 4,"The ABCB4 gene (also known as MDR3) provides instructions for making a protein that helps move certain fats called phospholipids across the membranes of liver cells and release the phospholipids into a digestive fluid called bile. Outside the liver cells, phospholipids attach (bind) to bile acids, which are a component of bile that digest fats. Large amounts of bile acids are potentially harmful to cells; when they are bound to phospholipids, bile acids are less toxic.","Progressive familial intrahepatic cholestasis More than 45 mutations in the ABCB4 gene have been found to cause a severe form of liver disease called progressive familial intrahepatic cholestasis type 3 (PFIC3) that usually leads to liver failure. Affected individuals have a mutation in both copies of the ABCB4 gene. Mutations that lead to the production of a short, nonfunctional protein or cause no protein to be produced tend to be associated with more severe liver disease that appears earlier in life. ABCB4 gene mutations that cause PFIC3 impair the movement of phospholipids across cell membranes, leading to a lack of phospholipids available to bind to bile acids. A buildup of free bile acids damages liver cells, which causes the signs and symptoms of liver disease. "
ABCB7 ,ATP binding cassette subfamily B member 7,"The ABCB7 gene provides instructions for making a protein known as an ATP-binding cassette (ABC) transporter. ABC transporter proteins carry many types of molecules across membranes in cells.The ABCB7 protein is located in the inner membrane of cell structures called mitochondria. Mitochondria are involved in a wide variety of cellular activities, including energy production, chemical signaling, and regulation of cell growth and division. In the mitochondria of developing red blood cells (erythroblasts), the ABCB7 protein plays a critical role in the production of heme. Heme contains iron and is a component of hemoglobin, the protein that carries oxygen in the blood.The ABCB7 protein is also involved in the formation of certain proteins containing clusters of iron and sulfur atoms (Fe-S clusters). Researchers suspect that the ABCB7 protein transports Fe-S clusters from mitochondria, where they are formed, to the surrounding cellular fluid (cytosol), where they can be incorporated into proteins. Overall, researchers believe that the ABCB7 protein helps maintain an appropriate balance of iron (iron homeostasis) in developing red blood cells.","X-linked sideroblastic anemia and ataxia At least three mutations in the ABCB7 gene have been identified in people with X-linked sideroblastic anemia with ataxia. Each of these mutations changes a single protein building block (amino acid) in the ABCB7 protein, slightly altering its structure. These changes disrupt the protein's usual role in heme production and iron homeostasis. Anemia results when heme cannot be produced normally, and therefore not enough hemoglobin is made. It is unclear how changes in the ABCB7 gene lead to problems with coordination and balance (ataxia) and other movement abnormalities. "
ABCB11 ,ATP binding cassette subfamily B member 11,"The ABCB11 gene provides instructions for making a protein called the bile salt export pump (BSEP), which is found in the liver. Bile salts are a component of bile, which is used to digest fats. Bile salts are produced by liver cells and then transported out of the cell by BSEP to make bile. The release of bile salts from liver cells is critical for the normal secretion of bile.","Benign recurrent intrahepatic cholestasis Mutations in the ABCB11 gene can cause benign recurrent intrahepatic cholestasis type 2 (BRIC2). People with BRIC2 have occasional episodes of impaired bile secretion that lead to severe itching (pruritus) and yellowing of the skin and whites of the eyes (jaundice). On occasion, people with BRIC2 have later been diagnosed with a more severe condition called progressive familial intrahepatic cholestasis type 2 (described below) when their symptoms worsened.Affected individuals have a mutation in both copies of the ABCB11 gene. Mutations in the ABCB11 gene that cause BRIC2 lead to a 40 to 50 percent reduction of bile salt transport. The resulting buildup of bile salts in the liver leads to the signs and symptoms of BRIC2. It is unclear what causes the episodes to begin or end. "
